Date,Species,Tree No,RZ_No,Height,Ht Adj, Rbar_Ht,Dia_1,Dia_2,DRC (cm),PrevDen,Cur_Den,Delta,Accum Dif,Cur DBH,Comments,,
4/5/2006,PIED,160,NA,NA,0,NA,NA,NA,34.3,NA,13.2,0,0,34.3,NA,,
4/5/2006,JUMO,161,4124,NA,0,NA,NA,NA,20,NA,5.8,0,0,20,NA,Date,Date Measured
4/5/2006,PIED,162,NA,NA,0,NA,NA,NA,14.1,NA,5,0,0,14.1,NA,Species,Species
4/5/2006,PIED,163,4148,NA,0,NA,NA,NA,20.3,NA,5,0,0,20.3,NA,Tree,Tree tag number
4/5/2006,JUMO,164,4171,NA,0,NA,NA,NA,19.2,NA,6,0,0,19.2,NA,RZ_No,Tag number from another study
4/5/2006,JUMO,165,NA,NA,0,NA,NA,NA,30.3,NA,6.8,0,0,30.3,NA,Height,Tree height from ground (ft)
4/5/2006,PIED,166,NA,NA,0,NA,NA,NA,29.5,NA,5.4,0,0,29.5,NA,HtADJ,Rebar Height
4/5/2006,PIED,167,NA,NA,0,NA,NA,NA,9,NA,2.9,0,0,9,NA,Rbar_Ht,Tree height measured from top of rebar
4/5/2006,PIED,168,NA,NA,0,NA,NA,NA,26.6,NA,6,0,0,26.6,NA,Dia_1,Diameter of canopy (cm)
4/5/2006,JUMO,169,NA,NA,0,NA,NA,NA,26.8,NA,6,0,0,26.8,NA,Dia_2,Diameter of canopy perpindicular to Dia_1(cm)
4/5/2006,JUMO,170,NA,NA,0,NA,NA,NA,26.4,NA,5.6,0,0,26.4,NA,DRC(cm),Initial Diameter at root crown (cm)
4/5/2006,JUMO,171,NA,NA,0,NA,NA,NA,27.6,NA,6,0,0,27.6,NA,PrevDen,Previous Dendrometer reading (mm)
4/5/2006,PIED,172,NA,NA,0,NA,NA,NA,25.5,NA,7.6,0,0,25.5,NA,Cur_Den,Current Dendrometer reading (mm)
4/5/2006,PIED,173,NA,NA,0,NA,NA,NA,6.1,NA,4.8,0,0,6.1,NA,Delta,Change between readings (mm)
4/5/2006,JUMO,174,NA,NA,0,NA,NA,NA,14.65,NA,4.1,0,0,14.65,NA,Accum Dif,Accumulating change in circumference (mm)
4/5/2006,JUMO,175,NA,NA,0,NA,NA,NA,34.5,NA,7.8,0,0,34.5,NA,Cur DBH,Current Calculated DBH (cm)
4/5/2006,JUMO,176,4369,NA,0,NA,NA,NA,15.9,NA,5.7,0,0,15.9,NA,Comments,
4/5/2006,JUMO,177,NA,NA,0,NA,NA,NA,24.8,NA,3.5,0,0,24.8,NA,,
4/5/2006,PIED,178,NA,NA,0,NA,NA,NA,15.6,NA,5.8,0,0,15.6,NA,,
4/5/2006,PIED,179,NA,NA,0,NA,NA,NA,5.4,NA,4.7,0,0,5.4,NA,,
4/5/2006,JUMO,180,4178,NA,0,NA,NA,NA,16.5,NA,5.2,0,0,16.5,NA,,
4/5/2006,PIED,181,4182,NA,0,NA,NA,NA,22.9,NA,5.5,0,0,22.9,NA,,
4/5/2006,JUMO,182,4181,NA,0,NA,NA,NA,15.7,NA,5.8,0,0,15.7,NA,,
4/5/2006,JUMO,183,4213,NA,0,NA,NA,NA,21.7,NA,4.5,0,0,21.7,NA,,
4/5/2006,JUMO,184,4138,NA,0,NA,NA,NA,15.7,NA,6.2,0,0,15.7,NA,,
4/5/2006,PIED,185,4191,NA,0,NA,NA,NA,15.1,NA,4.7,0,0,15.1,NA,,
4/5/2006,PIED,186,4314,NA,0,NA,NA,NA,12.8,NA,6,0,0,12.8,NA,,
4/5/2006,JUMO,187,4328,NA,0,NA,NA,NA,24.4,NA,4.6,0,0,24.4,NA,,
4/5/2006,PIED,188,4342,NA,0,NA,NA,NA,32.6,NA,7.6,0,0,32.6,NA,,
4/5/2006,PIED,189,NA,NA,0,NA,NA,NA,19.4,NA,6.1,0,0,19.4,DRC not entered,,
4/5/2006,PIED,190,NA,NA,0,NA,NA,NA,12.27,NA,5,0,0,12.27,NA,,
4/5/2006,JUMO,191,4080,NA,0,NA,NA,NA,19.7,NA,7,0,0,19.7,NA,,
4/5/2006,JUMO,192,4219,NA,0,NA,NA,NA,30.3,NA,5.5,0,0,30.3,NA,,
4/5/2006,JUMO,193,4345,NA,0,NA,NA,NA,25.2,NA,6,0,0,25.2,NA,,
4/5/2006,PIED,194,NA,NA,0,NA,NA,NA,7.9,NA,6,0,0,7.9,NA,,
4/5/2006,JUMO,195,4196,NA,0,NA,NA,NA,13.4,NA,6,0,0,13.4,NA,,
4/5/2006,PIED,196,NA,NA,0,NA,NA,NA,9.4,NA,5.5,0,0,9.4,NA,,
4/5/2006,JUMO,197,NA,NA,0,NA,NA,NA,17.6,NA,5.4,0,0,17.6,NA,,
4/5/2006,PIED,198,4115,NA,0,NA,NA,NA,16.2,NA,5.9,0,0,16.2,NA,,
4/5/2006,PIED,199,NA,NA,0,NA,NA,NA,7,NA,4.8,0,0,7,NA,,
4/5/2006,PIED,200,NA,NA,0,NA,NA,NA,10.4,NA,5,0,0,10.4,NA,,
6/29/2006,PIED,160,NA,17.2,0,17.2,NA,NA,34.3,13.2,15.1,1.9,1.9,34.36,NA,,
6/29/2006,JUMO,161,4124,10.1,0,10.1,NA,NA,20,5.8,5.8,0,0,20,NA,,
6/29/2006,PIED,162,NA,12.1,0,12.1,NA,NA,14.1,5,5.4,0.4,0.4,14.11,NA,,
6/29/2006,PIED,163,4148,10.62,0,10.62,NA,NA,20.3,5,5.7,0.7,0.7,20.32,NA,,
6/29/2006,JUMO,164,4171,9.8,0,9.8,NA,NA,19.2,6,4,-2,-2,19.14,NA,,
6/29/2006,JUMO,165,NA,13.9,0,13.9,NA,NA,30.3,6.8,6.6,-0.2,-0.2,30.29,NA,,
6/29/2006,PIED,166,NA,25.5,0,25.5,NA,NA,29.5,5.4,5.6,0.2,0.2,29.51,NA,,
6/29/2006,PIED,167,NA,10.85,0,10.85,NA,NA,9,2.9,4.1,1.2,1.2,9.04,NA,,
6/29/2006,PIED,168,NA,17.3,0,17.3,NA,NA,26.6,6,6.5,0.5,0.5,26.62,NA,,
6/29/2006,JUMO,169,NA,12.7,0,12.7,NA,NA,26.8,6,3.3,-2.7,-2.7,26.71,NA,,
6/29/2006,JUMO,170,NA,14.6,0,14.6,NA,NA,26.4,5.6,6.6,1,1,26.43,NA,,
6/29/2006,JUMO,171,NA,13,0,13,NA,NA,27.6,6,4,-2,-2,27.54,NA,,
6/29/2006,PIED,172,NA,10.9,0,10.9,NA,NA,25.5,7.6,9.4,1.8,1.8,25.56,NA,,
6/29/2006,PIED,173,NA,7.4,0,7.4,NA,NA,6.1,4.8,5.3,0.5,0.5,6.12,NA,,
6/29/2006,JUMO,174,NA,12.3,0,12.3,NA,NA,14.65,4.1,4,-0.1,-0.1,14.65,NA,,
6/29/2006,JUMO,175,NA,12.55,0,12.55,NA,NA,34.5,7.8,7.3,-0.5,-0.5,34.48,NA,,
6/29/2006,JUMO,176,4369,10.9,0,10.9,NA,NA,15.9,5.7,3.7,-2,-2,15.84,NA,,
6/29/2006,JUMO,177,NA,11.1,0,11.1,NA,NA,24.8,3.5,3.9,0.4,0.4,24.81,NA,,
6/29/2006,PIED,178,NA,12.2,0,12.2,NA,NA,15.6,5.8,5.3,-0.5,-0.5,15.58,NA,,
6/29/2006,PIED,179,NA,6.28,0,6.28,NA,NA,5.4,4.7,5.3,0.6,0.6,5.42,NA,,
6/29/2006,JUMO,180,4178,9.25,0,9.25,NA,NA,16.5,5.2,4.5,-0.7,-0.7,16.48,NA,,
6/29/2006,PIED,181,4182,14.3,0,14.3,NA,NA,22.9,5.5,6.8,1.3,1.3,22.94,NA,,
6/29/2006,JUMO,182,4181,9.25,0,9.25,NA,NA,15.7,5.8,4.8,-1,-1,15.67,NA,,
6/29/2006,JUMO,183,4213,10.5,0,10.5,NA,NA,21.7,4.5,4.4,-0.1,-0.1,21.7,NA,,
6/29/2006,JUMO,184,4138,8.5,0,8.5,NA,NA,15.7,6.2,5.2,-1,-1,15.67,NA,,
6/29/2006,PIED,185,4191,10,0,10,NA,NA,15.1,4.7,4.6,-0.1,-0.1,15.1,NA,,
6/29/2006,PIED,186,4314,12.1,0,12.1,NA,NA,12.8,6,6,0,0,12.8,NA,,
6/29/2006,JUMO,187,4328,9.7,0,9.7,NA,NA,24.4,4.6,3.4,-1.2,-1.2,24.36,NA,,
6/29/2006,PIED,188,4342,19.4,0,19.4,NA,NA,32.6,7.6,8.2,0.6,0.6,32.62,NA,,
6/29/2006,PIED,189,NA,11.4,0,11.4,NA,NA,19.4,6.1,6.7,0.6,0.6,19.42,NA,,
6/29/2006,PIED,190,NA,9.55,0,9.55,NA,NA,12.27,5,5.1,0.1,0.1,12.27,NA,,
6/29/2006,JUMO,191,4080,8.3,0,8.3,NA,NA,19.7,7,5.3,-1.7,-1.7,19.65,NA,,
6/29/2006,JUMO,192,4219,7.95,0,7.95,NA,NA,30.3,5.5,3.9,-1.6,-1.6,30.25,NA,,
6/29/2006,JUMO,193,4345,10.9,0,10.9,NA,NA,25.2,6,5,-1,-1,25.17,NA,,
6/29/2006,PIED,194,NA,8.15,0,8.15,NA,NA,7.9,6,5.5,-0.5,-0.5,7.88,NA,,
6/29/2006,JUMO,195,4196,8.85,0,8.85,NA,NA,13.4,6,5.5,-0.5,-0.5,13.38,NA,,
6/29/2006,PIED,196,NA,11.35,0,11.35,NA,NA,9.4,5.5,6,0.5,0.5,9.42,NA,,
6/29/2006,JUMO,197,NA,8.4,0,8.4,NA,NA,17.6,5.4,5.8,0.4,0.4,17.61,NA,,
6/29/2006,PIED,198,4115,12.5,0,12.5,NA,NA,16.2,5.9,7,1.1,1.1,16.24,NA,,
6/29/2006,PIED,199,NA,9.45,0,9.45,NA,NA,7,4.8,5.5,0.7,0.7,7.02,NA,,
6/29/2006,PIED,200,NA,10.4,0,10.4,NA,NA,10.4,5,6.3,1.3,1.3,10.44,NA,,
8/6/2006,PIED,160,NA,NA,0,NA,NA,NA,34.3,15.1,19.9,4.8,6.7,34.51,NA,,
8/6/2006,JUMO,161,4124,NA,0,NA,NA,NA,20,5.8,8.7,2.9,2.9,20.09,NA,,
8/6/2006,PIED,162,NA,NA,0,NA,NA,NA,14.1,5.4,7.7,2.3,2.7,14.19,NA,,
8/6/2006,PIED,163,4148,NA,0,NA,NA,NA,20.3,5.7,9.1,3.4,4.1,20.43,NA,,
8/6/2006,JUMO,164,4171,NA,0,NA,NA,NA,19.2,4,7.7,3.7,1.7,19.25,NA,,
8/6/2006,JUMO,165,NA,NA,0,NA,NA,NA,30.3,6.6,10.2,3.6,3.4,30.41,NA,,
8/6/2006,PIED,166,NA,NA,0,NA,NA,NA,29.5,5.6,7.9,2.3,2.5,29.58,NA,,
8/6/2006,PIED,167,NA,NA,0,NA,NA,NA,9,4.1,5.2,1.1,2.3,9.07,NA,,
8/6/2006,PIED,168,NA,NA,0,NA,NA,NA,26.6,6.5,9.2,2.7,3.2,26.7,NA,,
8/6/2006,JUMO,169,NA,NA,0,NA,NA,NA,26.8,3.3,4.8,1.5,-1.2,26.76,NA,,
8/6/2006,JUMO,170,NA,NA,0,NA,NA,NA,26.4,6.6,9.7,3.1,4.1,26.53,NA,,
8/6/2006,JUMO,171,NA,NA,0,NA,NA,NA,27.6,4,5.8,1.8,-0.2,27.59,NA,,
8/6/2006,PIED,172,NA,NA,0,NA,NA,NA,25.5,9.4,12.5,3.1,4.9,25.66,NA,,
8/6/2006,PIED,173,NA,NA,0,NA,NA,NA,6.1,5.3,7.7,2.4,2.9,6.19,NA,,
8/6/2006,JUMO,174,NA,NA,0,NA,NA,NA,14.65,4,5.5,1.5,1.4,14.69,NA,,
8/6/2006,JUMO,175,NA,NA,0,NA,NA,NA,34.5,7.3,10.6,3.3,2.8,34.59,NA,,
8/6/2006,JUMO,176,4369,NA,0,NA,NA,NA,15.9,3.7,4.9,1.2,-0.8,15.87,NA,,
8/6/2006,JUMO,177,NA,NA,0,NA,NA,NA,24.8,3.9,6.8,2.9,3.3,24.91,NA,,
8/6/2006,PIED,178,NA,NA,0,NA,NA,NA,15.6,5.3,9.4,4.1,3.6,15.71,NA,,
8/6/2006,PIED,179,NA,NA,0,NA,NA,NA,5.4,5.3,7.3,2,2.6,5.48,NA,,
8/6/2006,JUMO,180,4178,NA,0,NA,NA,NA,16.5,4.5,7,2.5,1.8,16.56,NA,,
8/6/2006,PIED,181,4182,NA,0,NA,NA,NA,22.9,6.8,10.8,4,5.3,23.07,NA,,
8/6/2006,JUMO,182,4181,NA,0,NA,NA,NA,15.7,4.8,6,1.2,0.2,15.71,NA,,
8/6/2006,JUMO,183,4213,NA,0,NA,NA,NA,21.7,4.4,4.6,0.2,0.1,21.7,NA,,
8/6/2006,JUMO,184,4138,NA,0,NA,NA,NA,15.7,5.2,6.4,1.2,0.2,15.71,NA,,
8/6/2006,PIED,185,4191,NA,0,NA,NA,NA,15.1,4.6,9.7,5.1,5,15.26,NA,,
8/6/2006,PIED,186,4314,NA,0,NA,NA,NA,12.8,6,10.1,4.1,4.1,12.93,NA,,
8/6/2006,JUMO,187,4328,NA,0,NA,NA,NA,24.4,3.4,6.1,2.7,1.5,24.45,NA,,
8/6/2006,PIED,188,4342,NA,0,NA,NA,NA,32.6,8.2,13.4,5.2,5.8,32.78,NA,,
8/6/2006,PIED,189,NA,NA,0,NA,NA,NA,19.4,6.7,9.3,2.6,3.2,19.5,NA,,
8/6/2006,PIED,190,NA,NA,0,NA,NA,NA,12.27,5.1,6.5,1.4,1.5,12.32,NA,,
8/6/2006,JUMO,191,4080,NA,0,NA,NA,NA,19.7,5.3,6.8,1.5,-0.2,19.69,NA,,
