Site,Plot_Subplot,Field_ID,tree_height
CM,1.1,4017,2.9
CM,1.1,4041,3.6
CM,1.2,4046,2.2
CM,1.2,4050,d
CM,1.2,4051,d
CM,1.3,4055,4.5
CM,1.3,4065,3.6
CM,1.4,4084,3.7
CM,2.1,4108,
CM,2.1,4110,3.8
CM,2.1,4112,2.8
CM,2.1,4113,3.6
CM,2.1,4114,2.5
CM,2.1,4115,3.8
CM,2.1,4117,d
CM,2.1,4120,4.1
CM,2.1,4129,3.6
CM,2.1,4131,3.5
CM,2.1,4132,2.4
CM,2.1,4140,d
CM,2.1,4141,d
CM,2.1,4142,d
CM,2.2,4144,2.9
CM,2.2,4148,3.4
CM,2.2,4160,2.2
CM,2.2,4162,5.1
CM,2.3,4172,3.1
CM,2.3,4174,4
CM,2.3,4182,4.9
CM,2.3,4188,3.8
CM,2.3,4191,3.3
CM,2.3,4192,3.9
CM,2.4,4210,d
CM,4.1,4218,2.8
CM,4.1,4220,2.5
CM,4.1,4226,2.8
CM,4.1,4229,3.6
CM,4.1,4234,3.2
CM,4.1,4235,2.6
CM,4.1,4237,d
CM,4.1,4239,3.7
CM,4.1,4240,3.1
CM,4.2,4270,d
CM,4.3,4273,4.9
CM,4.3,4275,5
CM,4.3,4277,4.2
CM,4.3,4278,4.8
CM,4.3,4281,3.8
CM,4.4,4288,d
CM,4.4,4293,3.6
CM,4.4,4295,d
CM,4.4,4296,4.1
CM,4.4,4298,4.7
CM,4.4,4303,3.8
CM,3.1,4304,4.8
CM,3.1,4310,4.7
CM,3.1,4312,3.6
CM,3.1,4314,4.1
CM,3.2,4326,4.6
CM,3.2,4331,3.6
CM,3.2,4332,d
CM,3.3,4342,6
CM,3.3,4349,3
CM,1.1,4001*,
CM,1.1,4002*,
CM,1.1,4007*,
CM,1.1,4009*,
CM,1.1,4012*,
CM,1.1,4013*,
CM,1.1,4014*,
CM,1.1,4016*,
CM,1.1,4017a,
CM,1.1,4018a,
CM,1.1,4020*,
CM,1.1,4021*,2.6
CM,1.1,4022a,
CM,1.1,4023b,2.2
CM,1.1,4026a,
CM,1.1,4027*,2.9
CM,1.1,4027a*,3.3
CM,1.1,4027b*,
CM,1.1,4032*,
CM,1.1,4032a*,
CM,1.1,4033a*,
CM,1.1,4035a,
CM,1.1,4039b,
CM,1.1,4040a,
CM,1.1,4043a,
CM,1.1,4044*,
CM,1.1,4045*,
CM,1.3,4053a,3.8
CM,1.3,4059a,
CM,1.3,4060a,
CM,1.4,4067a*,
CM,1.4,4068a*,
CM,1.4,4069c,
CM,1.4,4071a,
CM,1.4,4072a,
CM,1.4,4072b,
CM,1.4,4074*,
CM,1.4,4074a*,
CM,1.4,4076a,
CM,1.4,4076c,
CM,1.4,4079a,
CM,1.4,4079b,
CM,1.4,4081a*,
CM,1.4,4083a,
CM,1.4,4083c,
CM,1.4,4085*,
CM,1.4,4086*,
CM,1.4,4087a*,
CM,1.4,4088a*,
CM,1.4,4104a*,
CM,1.4,4105a,
CM,1.4,4105b,
CM,1.4,4105c,
CM,1.4,4106a,
CM,2.1,4109b,
CM,2.1,4109e,
CM,2.1,4119a,
CM,2.1,4120a,
CM,2.1,4128e,
CM,2.1,4130b,
CM,2.1,4130e,
CM,2.1,4131c,1.9
CM,2.1,4132c,
CM,2.1,4134b,
CM,2.1,4136b,3.1
CM,2.1,4138a,
CM,2.2,4145a,
CM,2.2,4148a,
CM,2.2,4151a,
CM,2.2,4163d,2.2
CM,2.2,4169a,
CM,2.2,4169c,
CM,2.3,4174a,
CM,2.3,4174c,
CM,2.3,4174d,
CM,2.3,4175a,
CM,2.3,4177a,
CM,2.3,4187b,
CM,2.3,4188a,
CM,2.3,4188b,
CM,2.4,4195c,
CM,2.4,4198b,
CM,2.4,4204a,
CM,2.4,4207a,
CM,2.4,4212a,
CM,4.1,4221a,
CM,4.1,4221e,
CM,4.1,4223a,2.6
CM,4.1,4227*,
CM,4.1,4228a,
CM,4.1,4228b,
CM,4.1,4231b,
CM,4.1,4235a,
CM,4.1,4236a,
CM,4.1,4238e,
CM,4.1,4239b,2.4
CM,4.1,4245b,
CM,4.2,4248*,
CM,4.2,4250*,
CM,4.2,4254*,
CM,4.2,4254b,
CM,4.2,4254c*,
CM,4.2,4262a,
CM,4.2,4264a,2.8
CM,4.2,4265*,
CM,4.3,4280a,
CM,4.3,4280b,
CM,4.3,4284a*,
CM,4.3,4285a*,
CM,4.3,4285s*,
CM,4.4,4289a,
CM,4.4,4291b,
CM,4.4,4294a,
CM,4.4,4295a,
CM,4.4,4299a,
CM,4.4,4299c,
CM,3.1,4308b,
CM,3.1,4311c,2.7
CM,3.1,4311d,
CM,3.1,4311g,
CM,3.1,4312a,
CM,3.1,4314a,
CM,3.2,4322a,
CM,3.2,4323c,
CM,3.2,4325a,
CM,3.2,4328a,
CM,3.2,4330a,
CM,3.2,4332a,
CM,3.2,4333a,
CM,3.2,4333b,
CM,3.2,4334e,
CM,3.2,4334f,
CM,3.2,4335a,
CM,3.3,4336a,
CM,3.3,4339a,
CM,3.4,4354a,
GD,3.3,4713,4.3
GD,3.3,4721,d
GD,3.4,4722,d
GD,3.2,4895,2.3
GD,3.3,4707*,3.2
GD,3.3,4708*,4.1
GD,3.3,4720*,3.6
GD,4.3,4738*,3
GD,4.2,4743*,3.3
GD,4.3,4778*,d
GD,2.3,4815*,2.4
GD,2.3,4816*,2.5
GD,2.3,4818*,d
GD,3.2,4872*,4.5
GD,3.2,4875*,d
GD,3.2,4886a,3.3
GD,1.4,4918*,d
GD,1.4,4925*,1.2
GD,1.4,4934*,3.7
GD,1.4,4940*,3.1
GD,1.4,4955*,d
GD,2.2,4968*,d
GD,2.2,4969*,d
GD,2.2,4969a*,d
GD,2.2,4980*,d
GD,2.2,4990*,4.1
GD,2.3,4994*,d
GD,2.3,4999*,
