"","Year","Site","Plot_Subplot","Field_ID","Fruit_Count","Age","tree_height_2024","alive","measured"
"1",1997,"CM","1.1","4017",NA,"M",2.9,1,1
"2",1998,"CM","1.1","4017",NA,"M",2.9,1,1
"3",1999,"CM","1.1","4017",0,"M",2.9,1,1
"4",2000,"CM","1.1","4017",0,"M",2.9,1,1
"5",2001,"CM","1.1","4017",0,"M",2.9,1,1
"6",2002,"CM","1.1","4017",0,"M",2.9,1,1
"7",2003,"CM","1.1","4017",0,"M",2.9,1,1
"8",2004,"CM","1.1","4017",0,"M",2.9,1,1
"9",2005,"CM","1.1","4017",0,"M",2.9,1,1
"10",2006,"CM","1.1","4017",0,"M",2.9,1,1
"11",2007,"CM","1.1","4017",0,"M",2.9,1,1
"12",2008,"CM","1.1","4017",0,"M",2.9,1,1
"13",2009,"CM","1.1","4017",0,"M",2.9,1,1
"14",2010,"CM","1.1","4017",0,"M",2.9,1,1
"15",2011,"CM","1.1","4017",0,"M",2.9,1,1
"16",2012,"CM","1.1","4017",0,"M",2.9,1,1
"17",2013,"CM","1.1","4017",0,"M",2.9,1,1
"18",2014,"CM","1.1","4017",0,"M",2.9,1,1
"19",2015,"CM","1.1","4017",0,"M",2.9,1,1
"20",2016,"CM","1.1","4017",0,"M",2.9,1,1
"21",2017,"CM","1.1","4017",0,"M",2.9,1,1
"22",2018,"CM","1.1","4017",0,"M",2.9,1,1
"23",2019,"CM","1.1","4017",0,"M",2.9,1,1
"24",2020,"CM","1.1","4017",0,"M",2.9,1,1
"25",2021,"CM","1.1","4017",0,"M",2.9,1,1
"26",2022,"CM","1.1","4017",0,"M",2.9,1,1
"27",2023,"CM","1.1","4017",0,"M",2.9,1,1
"28",1997,"CM","1.1","4041",NA,"Y",3.6,1,1
"29",1998,"CM","1.1","4041",NA,"Y",3.6,1,1
"30",1999,"CM","1.1","4041",22,"Y",3.6,1,1
"31",2000,"CM","1.1","4041",0,"Y",3.6,1,1
"32",2001,"CM","1.1","4041",1,"Y",3.6,1,1
"33",2002,"CM","1.1","4041",0,"Y",3.6,1,1
"34",2003,"CM","1.1","4041",0,"Y",3.6,1,1
"35",2004,"CM","1.1","4041",0,"Y",3.6,1,1
"36",2005,"CM","1.1","4041",0,"Y",3.6,1,1
"37",2006,"CM","1.1","4041",0,"Y",3.6,1,1
"38",2007,"CM","1.1","4041",0,"Y",3.6,1,1
"39",2008,"CM","1.1","4041",2,"Y",3.6,1,1
"40",2009,"CM","1.1","4041",0,"Y",3.6,1,1
"41",2010,"CM","1.1","4041",0,"Y",3.6,1,1
"42",2011,"CM","1.1","4041",0,"Y",3.6,1,1
"43",2012,"CM","1.1","4041",0,"Y",3.6,1,1
"44",2013,"CM","1.1","4041",0,"Y",3.6,1,1
"45",2014,"CM","1.1","4041",0,"Y",3.6,1,1
"46",2015,"CM","1.1","4041",0,"Y",3.6,1,1
"47",2016,"CM","1.1","4041",53,"Y",3.6,1,1
"48",2017,"CM","1.1","4041",0,"Y",3.6,1,1
"49",2018,"CM","1.1","4041",28,"Y",3.6,1,1
"50",2019,"CM","1.1","4041",0,"Y",3.6,1,1
"51",2020,"CM","1.1","4041",3,"Y",3.6,1,1
"52",2021,"CM","1.1","4041",6,"Y",3.6,1,1
"53",2022,"CM","1.1","4041",0,"Y",3.6,1,1
"54",2023,"CM","1.1","4041",0,"Y",3.6,1,1
"55",1997,"CM","1.2","4046",NA,"M",2.2,1,1
"56",1998,"CM","1.2","4046",NA,"M",2.2,1,1
"57",1999,"CM","1.2","4046",62,"M",2.2,1,1
"58",2000,"CM","1.2","4046",0,"M",2.2,1,1
"59",2001,"CM","1.2","4046",0,"M",2.2,1,1
"60",2002,"CM","1.2","4046",0,"M",2.2,1,1
"61",2003,"CM","1.2","4046",0,"M",2.2,1,1
"62",2004,"CM","1.2","4046",20,"M",2.2,1,1
"63",2005,"CM","1.2","4046",11,"M",2.2,1,1
"64",2006,"CM","1.2","4046",11,"M",2.2,1,1
"65",2007,"CM","1.2","4046",0,"M",2.2,1,1
"66",2008,"CM","1.2","4046",29,"M",2.2,1,1
"67",2009,"CM","1.2","4046",0,"M",2.2,1,1
"68",2010,"CM","1.2","4046",0,"M",2.2,1,1
"69",2011,"CM","1.2","4046",0,"M",2.2,1,1
"70",2012,"CM","1.2","4046",0,"M",2.2,1,1
"71",2013,"CM","1.2","4046",0,"M",2.2,1,1
"72",2014,"CM","1.2","4046",0,"M",2.2,1,1
"73",2015,"CM","1.2","4046",0,"M",2.2,1,1
"74",2016,"CM","1.2","4046",16,"M",2.2,1,1
"75",2017,"CM","1.2","4046",0,"M",2.2,1,1
"76",2018,"CM","1.2","4046",22,"M",2.2,1,1
"77",2019,"CM","1.2","4046",0,"M",2.2,1,1
"78",2020,"CM","1.2","4046",0,"M",2.2,1,1
"79",2021,"CM","1.2","4046",0,"M",2.2,1,1
"80",2022,"CM","1.2","4046",0,"M",2.2,1,1
"81",2023,"CM","1.2","4046",0,"M",2.2,1,1
"82",1997,"CM","1.2","4050",NA,"VO",NA,0,1
"83",1998,"CM","1.2","4050",NA,"VO",NA,0,1
"84",1999,"CM","1.2","4050",330,"VO",NA,0,1
"85",2000,"CM","1.2","4050",0,"VO",NA,0,1
"86",2001,"CM","1.2","4050",0,"VO",NA,0,1
"87",2002,"CM","1.2","4050",0,"VO",NA,0,1
"88",2003,"CM","1.2","4050",0,"VO",NA,0,1
"89",2004,"CM","1.2","4050",250,"VO",NA,0,1
"90",2005,"CM","1.2","4050",0,"VO",NA,0,1
"91",2006,"CM","1.2","4050",0,"VO",NA,0,1
"92",2007,"CM","1.2","4050",0,"VO",NA,0,1
"93",2008,"CM","1.2","4050",890,"VO",NA,0,1
"94",2009,"CM","1.2","4050",0,"VO",NA,0,1
"95",2010,"CM","1.2","4050",6,"VO",NA,0,1
"96",2011,"CM","1.2","4050",3,"O",NA,0,1
"97",2012,"CM","1.2","4050",0,"VO",NA,0,1
"98",2013,"CM","1.2","4050",0,"VO",NA,0,1
"99",2014,"CM","1.2","4050",0,"VO",NA,0,1
"100",2015,"CM","1.2","4050",0,"VO",NA,0,1
"101",2016,"CM","1.2","4050",NA,"VO",NA,0,1
"102",2017,"CM","1.2","4050",NA,"VO",NA,0,1
"103",2018,"CM","1.2","4050",NA,"VO",NA,0,1
"104",2019,"CM","1.2","4050",NA,"VO",NA,0,1
