"raw.data$TreeID","Year","Alive","newRecruits","Ht","CanDiam1","CanDiam2","DBH","Ht.t.min.1","CanDiam1.tmin.1","CanDiam2.tmin.1","DBH.tmin.1"
"PJControl . LAI_Left . 3507 . 50",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3507 . 50",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3507 . 50",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3507 . 50",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3507 . 50",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3507 . 50",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3507 . 50",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3508 . 50",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3508 . 50",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3508 . 50",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3508 . 50",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3508 . 50",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3508 . 50",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3508 . 50",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3508 . 50",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3508 . 50",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3509 . 50",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3509 . 50",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3509 . 50",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3510 . 50",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3510 . 50",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3510 . 50",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3510 . 50",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3515 . 50",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3515 . 50",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3515 . 50",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3515 . 50",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3515 . 50",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3515 . 50",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3515 . 50",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PJControl . LAI_Left . 3515 . 50",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
