Year,Site,Species,Plot_Subplot,Plot,Subplot,Field_ID,Arroyo,Age,Size,Location,Dead_Canopy,Fruit_Count,Tree_Status,Tree_Height,CanopyMajorAxis,CanopyMinorAxis
1997,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,70,NA,NA,NA,NA
1998,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
1999,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2000,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2001,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2002,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2003,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2004,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,7,NA,NA,NA,NA
2005,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,60,NA,NA,NA,NA
2006,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,3,NA,NA,NA,NA
2007,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2008,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2009,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2010,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,22,NA,NA,NA,NA
2011,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2012,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2013,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2014,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2015,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,35,NA,NA,NA,NA
2016,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2017,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,0,NA,NA,NA,NA
2018,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,NA,NA,NA,NA,NA
2019,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,NA,NA,NA,NA,NA
2020,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,NA,NA,NA,NA,NA
2021,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,NA,NA,NA,NA,NA
2022,222,JUMO,1.1,1,1,4,n,M,NA,NA,NA,NA,NA,NA,NA,NA
2023,222,JUMO,1.1,1,1,4,n,M,NA,NA,10,100.25,NA,NA,NA,NA
1997,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,300,NA,NA,NA,NA
1998,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0,NA,NA,NA,NA
1999,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0.5,NA,NA,NA,NA
2000,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0.5,NA,NA,NA,NA
2001,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,7,NA,NA,NA,NA
2002,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0,NA,NA,NA,NA
2003,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,90,NA,NA,NA,NA
2004,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,25,NA,NA,NA,NA
2005,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,7,NA,NA,NA,NA
2006,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0.5,NA,NA,NA,NA
2007,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,29,NA,NA,NA,NA
2008,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,1.5,NA,NA,NA,NA
2009,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0,NA,NA,NA,NA
2010,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,85,NA,NA,NA,NA
2011,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0,NA,NA,NA,NA
2012,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0,NA,NA,NA,NA
2013,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0,NA,NA,NA,NA
2014,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0,NA,NA,NA,NA
2015,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,130,NA,NA,NA,NA
2016,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,0,NA,NA,NA,NA
2017,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,135,NA,NA,NA,NA
2018,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,NA,NA,NA,NA,NA
2019,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,NA,NA,NA,NA,NA
2020,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,NA,NA,NA,NA,NA
2021,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,NA,NA,NA,NA,NA
2022,222,JUMO,1.1,1,1,7,n,O,NA,NA,NA,NA,NA,NA,NA,NA
2023,222,JUMO,1.1,1,1,7,n,O,NA,NA,10,286.5,NA,NA,NA,NA
1997,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,315,NA,NA,NA,NA
1998,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,5,NA,NA,NA,NA
1999,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,2,NA,NA,NA,NA
2000,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,2,NA,NA,NA,NA
2001,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,5,NA,NA,NA,NA
2002,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,0,NA,NA,NA,NA
2003,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,170,NA,NA,NA,NA
2004,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,3,NA,NA,NA,NA
2005,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,5,NA,NA,NA,NA
2006,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,0.5,NA,NA,NA,NA
2007,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,110,NA,NA,NA,NA
2008,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,5,NA,NA,NA,NA
2009,222,JUMO,1.2,1,2,9,n,O,NA,NA,NA,0,NA,NA,NA,NA
