Year,Site,Species,Plot_Subplot,Plot,Subplot,Field_ID,Arroyo,Age,Size,Location,Dead_Canopy,Fruit_Count_N,Fruit_Count_E,Fruit_Count_S,Fruit_Count_W,Tree_Status,Tree_Height,CanopyMajorAxis,CanopyMinorAxis
2024,222,JUMO,1.1,1,1,4,n,M,NA,NA,30,0,3,1,0,Live,NA,NA,NA
2024,222,JUMO,1.1,1,1,7,n,O,NA,NA,15,7,11,0,0,Live,NA,NA,NA
2024,222,JUMO,1.2,1,2,9,n,O,NA,NA,35,2,2,0,0,Live,NA,NA,NA
2024,222,JUMO,1.2,1,2,12,n,M,NA,NA,30,1,2,1,2,Live,NA,NA,NA
2024,222,JUMO,1.2,1,2,14,n,M,NA,NA,15,0,0,21,0,Live,NA,NA,NA
2024,222,JUMO,1.2,1,2,15,n,Y,NA,NA,25,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,1.2,1,2,16,n,Y,NA,NA,15,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,1.2,1,2,18,n,M,NA,NA,65,6,0,0,0,Live,NA,NA,NA
2024,222,JUMO,1.2,1,2,19,n,M,NA,NA,30,0,6,0,0,Live,NA,NA,NA
2024,222,JUMO,1.2,1,2,23,n,Y,NA,NA,20,2,7,3,2,Live,NA,NA,NA
2024,222,JUMO,1.3,1,3,25,n,O,NA,NA,25,0,0,1,0,Live,NA,NA,NA
2024,222,JUMO,1.3,1,3,26,n,O,NA,NA,60,0,0,1,0,Live,NA,NA,NA
2024,222,JUMO,1.3,1,3,27,n,Y,NA,NA,30,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,1.3,1,3,28,n,O,NA,NA,10,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,1.3,1,3,31,n,M,NA,NA,30,7,4,1,3,Live,NA,NA,NA
2024,222,JUMO,1.3,1,3,33,n,NA,NA,NA,40,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,1.3,1,3,34,n,NA,NA,NA,5,1,0,0,0,Live,NA,NA,NA
2024,222,JUMO,1.4,1,4,37,n,M,NA,NA,20,0,2,0,2,Live,NA,NA,NA
2024,222,JUMO,1.4,1,4,39,n,M,NA,NA,10,1,3,1,1,Live,NA,NA,NA
2024,222,JUMO,1.4,1,4,44,n,O,NA,NA,50,0,0,2,7,Live,NA,NA,NA
2024,222,JUMO,1.4,1,4,45,n,O,NA,NA,20,1,20,1,1,Live,NA,NA,NA
2024,222,JUMO,1.4,1,4,46,n,O,NA,NA,15,0,0,2,0,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,54,n,Y,NA,NA,10,3,2,0,3,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,55,n,O,NA,NA,10,0,1,0,0,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,56,n,Y,NA,NA,5,18,2,1,2,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,57,n,Y,NA,NA,30,3,4,1,1,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,58,n,Y,NA,NA,30,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,59,n,Y,NA,NA,10,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,60,n,Y,NA,NA,5,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,61,n,Y,NA,NA,15,3,7,0,2,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,62,n,Y,NA,NA,20,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,65,n,M,NA,NA,20,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,66,n,M,NA,NA,40,1,2,0,1,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,67,n,M,NA,NA,10,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,68,n,M,NA,NA,20,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.1,2,1,71,n,NA,NA,NA,10,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,72,n,Y,NA,NA,5,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,77,n,M,NA,NA,25,0,2,0,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,78,n,NA,NA,NA,5,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,79,n,M,NA,NA,10,6,21,0,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,80,n,Y,NA,NA,10,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,81,n,M,NA,NA,25,3,1,0,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,83,n,M,NA,NA,10,1,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,85,n,O,NA,NA,10,3,23,2,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,87,n,M,NA,NA,20,1,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.2,2,2,88,n,M,NA,NA,30,1,5,1,0,Live,NA,NA,NA
2024,222,JUMO,2.3,2,3,90,n,M,NA,NA,20,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.3,2,3,92,n,O,NA,NA,50,0,15,3,3,Live,NA,NA,NA
2024,222,JUMO,2.3,2,3,93,n,O,NA,NA,35,0,1,0,1,Live,NA,NA,NA
2024,222,JUMO,2.3,2,3,94,n,Y,NA,NA,5,0,0,0,0,Live,NA,NA,NA
2024,222,JUMO,2.4,2,4,99,n,Y,NA,NA,20,0,7,0,0,Live,NA,NA,NA
